feeder,topology,portfolio,native_dc_share,converter_efficiency,spatial_allocations,all_ac_count,hybrid_count,root_dc_count,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_loss_change_pct,median_loss_change_pct,minimum_loss_change_pct,maximum_loss_change_pct,distinct_boundary_signatures,all_ac_pct,hybrid_pct,root_dc_pct
rural,original,K0,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.25,0.98,3,2,1,0,0.07692307692307693,0.05174594834675756,-4.662557766555358,0.0,-13.987673299666076,0.0,2,66.66666666666666,33.33333333333333,0.0
rural,original,K0,0.25,0.99,3,1,2,0,0.10256410256410257,0.12167422126806382,-16.076391226092728,-19.107825899491647,-29.121347778786543,0.0,3,33.33333333333333,66.66666666666666,0.0
rural,original,K0,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.5,0.98,3,0,3,0,0.17948717948717952,0.24995304143470906,-16.055336115504804,-20.485562017070595,-22.26037792497737,-5.420068404466443,3,0.0,100.0,0.0
rural,original,K0,0.5,0.99,3,0,3,0,0.17948717948717952,0.24995304143470906,-28.282959323165798,-35.09766674374728,-40.1253410574197,-9.62587016833041,3,0.0,100.0,0.0
rural,original,K0,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,0.75,0.98,3,0,3,0,0.5128205128205129,0.5628545136516194,-22.138968690184218,-20.391440593233526,-25.747181108466187,-20.278284368852947,3,0.0,100.0,0.0
rural,original,K0,0.75,0.99,3,0,3,0,0.5384615384615384,0.5654456818267629,-40.41739600534304,-40.72948876910124,-44.11433708178402,-36.40836216514388,3,0.0,100.0,0.0
rural,original,K0,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K0,1.0,0.98,3,0,0,3,1.0,1.0,-35.543107327658056,-35.543107327658056,-35.543107327658056,-35.543107327658056,1,0.0,0.0,100.0
rural,original,K0,1.0,0.99,3,0,0,3,1.0,1.0,-59.919537649948076,-59.91953764994808,-59.91953764994808,-59.91953764994808,1,0.0,0.0,100.0
rural,original,K1,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K1,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K1,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K1,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
