feeder,topology,portfolio,native_dc_share,seed,converter_efficiency,case,line_loss_kwh,endpoint_loss_kwh,boundary_loss_kwh,material_index,converter_capacity_kw,converter_count,max_ampacity_fraction,max_single_edge_drop_pu,total_loss_kwh,objective,dc_node_fraction,dc_energy_fraction,dc_bus_signature,boundary_signature,conductor_scale_signature,architecture,state_evaluations,transition_evaluations
rural,original,K3,0.5,20260924,0.98,all_ac_fixed,286.7341500379393,4073.9145683293827,0.0,2.23882416,0.0,0,0.2248627364212227,0.0034258721814473684,4360.648718367322,4367.365190847322,0.0,0.0,,,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,all-AC,14.0,13.0
rural,original,K3,0.5,20260924,0.98,all_ac_conductor,143.38883408910806,4073.9145683293827,0.0,4.29358712,0.0,0,0.11243136821061135,0.0017129360907236842,4217.303402418491,4230.184163778491,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:2|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,14.0,39.0
rural,original,K3,0.5,20260924,0.98,hybrid_fixed,284.21236049217043,1651.4782760977114,1602.7746084400012,2.1804748899999997,23.76,2,0.2248627364212227,0.0034258721814473684,3538.4652450298827,3592.526669699883,0.15384615384615385,0.2973106396319272,2|4,9-2|5-4,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,hybrid,27.0,44.0
rural,original,K3,0.5,20260924,0.98,hybrid_joint,142.12793931622363,1651.4782760977114,1602.7746084400012,4.17688858,23.76,2,0.11243136821061135,0.0017129360907236842,3396.380823853936,3456.431489593936,0.15384615384615385,0.2973106396319272,2|4,9-2|5-4,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:2|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,hybrid,27.0,132.0
rural,original,K3,0.5,20260924,0.98,hybrid_ideal,143.38883408910806,0.0,0.0,4.29358712,0.0,0,0.11243136821061135,0.0017129360907236842,143.38883408910806,156.26959544910807,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:2|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0
suburban,original,K3,0.5,20260924,0.98,all_ac_fixed,2156.934279650126,7913.689327031992,0.0,2.9830811319999997,0.0,0,0.4506455139219411,0.0065341812835136865,10070.623606682118,10079.572850078119,0.0,0.0,,,14-28:1|14-20:1|14-34:1|28-13:1|20-7:1|34-35:1|13-33:1|7-31:1|35-36:1|33-8:1|31-1:1|36-37:1|8-18:1|1-2:1|1-9:1|37-38:1|37-40:1|2-11:1|9-5:1|38-39:1|40-41:1|11-0:1|5-23:1|41-42:1|0-10:1|23-29:1|10-22:1|29-12:1|22-15:1|12-3:1|15-17:1|17-16:1|17-30:1|16-4:1|30-26:1|4-21:1|26-32:1|21-27:1|32-24:1|27-6:1|24-19:1|19-25:1,all-AC,43.0,42.0
suburban,original,K3,0.5,20260924,0.98,all_ac_conductor,1078.8911502889293,7913.689327031992,0.0,5.609670151999999,0.0,0,0.22532275696097054,0.0032670906417568433,8992.580477320922,9009.409487776922,0.0,0.0,,,14-28:2|14-20:2|14-34:2|28-13:2|20-7:2|34-35:2|13-33:2|7-31:2|35-36:2|33-8:2|31-1:2|36-37:2|8-18:2|1-2:2|1-9:2|37-38:2|37-40:2|2-11:2|9-5:2|38-39:2|40-41:2|11-0:2|5-23:1.5|41-42:2|0-10:2|23-29:1|10-22:2|29-12:1|22-15:2|12-3:1|15-17:2|17-16:2|17-30:2|16-4:2|30-26:2|4-21:1.5|26-32:2|21-27:1|32-24:2|27-6:1|24-19:1.5|19-25:1,all-AC,43.0,126.0
suburban,original,K3,0.5,20260924,0.98,hybrid_fixed,2120.5028920808595,3215.8621882924017,3787.133888702003,2.913081132,57.674613599999994,3,0.4506455139219411,0.0065341812835136865,9123.498969075265,9247.587439671264,0.07142857142857142,0.29681650015578126,39|40|41,37-40|38-39|41-42,14-28:1|14-20:1|14-34:1|28-13:1|20-7:1|34-35:1|13-33:1|7-31:1|35-36:1|33-8:1|31-1:1|36-37:1|8-18:1|1-2:1|1-9:1|37-38:1|37-40:1|2-11:1|9-5:1|38-39:1|40-41:1|11-0:1|5-23:1|41-42:1|0-10:1|23-29:1|10-22:1|29-12:1|22-15:1|12-3:1|15-17:1|17-16:1|17-30:1|16-4:1|30-26:1|4-21:1|26-32:1|21-27:1|32-24:1|27-6:1|24-19:1|19-25:1,hybrid,85.0,162.0
suburban,original,K3,0.5,20260924,0.98,hybrid_joint,1060.675456504296,3215.8621882924017,3787.133888702003,5.469670151999999,57.674613599999994,3,0.22532275696097054,0.0032670906417568433,8063.6715334987,8195.4297711547,0.07142857142857142,0.29681650015578126,39|40|41,37-40|38-39|41-42,14-28:2|14-20:2|14-34:2|28-13:2|20-7:2|34-35:2|13-33:2|7-31:2|35-36:2|33-8:2|31-1:2|36-37:2|8-18:2|1-2:2|1-9:2|37-38:2|37-40:2|2-11:2|9-5:2|38-39:2|40-41:2|11-0:2|5-23:1.5|41-42:2|0-10:2|23-29:1|10-22:2|29-12:1|22-15:2|12-3:1|15-17:2|17-16:2|17-30:2|16-4:2|30-26:2|4-21:1.5|26-32:2|21-27:1|32-24:2|27-6:1|24-19:1.5|19-25:1,hybrid,85.0,486.0
suburban,original,K3,0.5,20260924,0.98,hybrid_ideal,590.9244260812835,0.0,0.0,5.045670151999999,80.08349904000002,1,0.19773703466666673,0.0017656809868339203,590.9244260812835,766.2284346172835,0.21428571428571427,0.7241359622557202,34|35|36|37|38|39|40|41|42,14-34,14-28:2|14-20:2|14-34:2|28-13:2|20-7:2|34-35:2|13-33:2|7-31:2|35-36:2|33-8:2|31-1:2|36-37:2|8-18:2|1-2:2|1-9:2|37-38:2|37-40:2|2-11:2|9-5:2|38-39:2|40-41:2|11-0:2|5-23:1.5|41-42:2|0-10:2|23-29:1|10-22:2|29-12:1|22-15:2|12-3:1|15-17:2|17-16:2|17-30:2|16-4:2|30-26:2|4-21:1.5|26-32:2|21-27:1|32-24:2|27-6:1|24-19:1.5|19-25:1,hybrid,85.0,486.0
urban,original,K3,0.5,20260924,0.98,all_ac_fixed,1096.1311223746802,10955.887881619497,0.0,4.310859656,0.0,0,0.30321959242941876,0.002081612284595803,12052.019003994177,12064.951582962178,0.0,0.0,,,0-11:1|0-34:1|0-46:1|0-53:1|0-54:1|0-38:1|0-27:1|11-3:1|34-32:1|46-47:1|54-55:1|38-25:1|27-9:1|3-16:1|32-20:1|47-48:1|55-56:1|25-37:1|9-4:1|16-10:1|16-26:1|20-36:1|20-12:1|48-49:1|56-57:1|37-23:1|4-30:1|10-15:1|36-43:1|12-45:1|49-50:1|23-31:1|23-14:1|30-40:1|15-2:1|43-35:1|50-51:1|31-42:1|14-13:1|2-6:1|51-52:1|42-28:1|42-41:1|6-21:1|28-24:1|21-44:1|24-19:1|44-29:1|19-5:1|29-7:1|5-8:1|7-1:1|8-39:1|1-17:1|39-22:1|22-33:1|33-18:1,all-AC,58.0,57.0
urban,original,K3,0.5,20260924,0.98,all_ac_conductor,550.0239863678908,10955.887881619497,0.0,7.111789911999999,0.0,0,0.15160979621470938,0.0010408061422979016,11505.911867987388,11527.247237723388,0.0,0.0,,,0-11:2|0-34:2|0-46:2|0-53:2|0-54:1.5|0-38:2|0-27:2|11-3:2|34-32:2|46-47:2|54-55:1|38-25:2|27-9:2|3-16:2|32-20:2|47-48:2|55-56:1|25-37:2|9-4:2|16-10:2|16-26:1.5|20-36:1.5|20-12:2|48-49:2|56-57:1|37-23:2|4-30:1.5|10-15:2|36-43:1.5|12-45:1|49-50:1.5|23-31:2|23-14:2|30-40:1|15-2:2|43-35:1|50-51:1|31-42:2|14-13:1|2-6:2|51-52:1|42-28:2|42-41:1|6-21:2|28-24:2|21-44:2|24-19:2|44-29:2|19-5:2|29-7:2|5-8:2|7-1:2|8-39:2|1-17:1|39-22:2|22-33:2|33-18:2,all-AC,58.0,171.0
