feeder,topology,portfolio,classification_feeder_threshold,cells,total_cells,proportion
rural,original,K0,no modeled loss benefit/AC retained,39,60,0.65
rural,original,K0,robustly material under screening rule,21,60,0.35
rural,original,K1,no modeled loss benefit/AC retained,39,60,0.65
rural,original,K1,robustly material under screening rule,21,60,0.35
rural,original,K2,no modeled loss benefit/AC retained,39,60,0.65
rural,original,K2,robustly material under screening rule,21,60,0.35
rural,original,K3,no modeled loss benefit/AC retained,39,60,0.65
rural,original,K3,robustly material under screening rule,21,60,0.35
rural,synthetic_mst,K0,indeterminate relative to model discrepancy,1,60,0.016666666666666666
rural,synthetic_mst,K0,no modeled loss benefit/AC retained,36,60,0.6
rural,synthetic_mst,K0,robustly material under screening rule,23,60,0.38333333333333336
rural,synthetic_mst,K1,no modeled loss benefit/AC retained,37,60,0.6166666666666667
rural,synthetic_mst,K1,robustly material under screening rule,23,60,0.38333333333333336
rural,synthetic_mst,K2,indeterminate relative to model discrepancy,1,60,0.016666666666666666
rural,synthetic_mst,K2,no modeled loss benefit/AC retained,36,60,0.6
rural,synthetic_mst,K2,robustly material under screening rule,23,60,0.38333333333333336
rural,synthetic_mst,K3,indeterminate relative to model discrepancy,1,60,0.016666666666666666
rural,synthetic_mst,K3,no modeled loss benefit/AC retained,36,60,0.6
rural,synthetic_mst,K3,robustly material under screening rule,23,60,0.38333333333333336
suburban,original,K0,no modeled loss benefit/AC retained,39,60,0.65
suburban,original,K0,robustly material under screening rule,21,60,0.35
suburban,original,K1,no modeled loss benefit/AC retained,39,60,0.65
suburban,original,K1,robustly material under screening rule,21,60,0.35
suburban,original,K2,no modeled loss benefit/AC retained,39,60,0.65
suburban,original,K2,robustly material under screening rule,21,60,0.35
suburban,original,K3,no modeled loss benefit/AC retained,39,60,0.65
suburban,original,K3,robustly material under screening rule,21,60,0.35
suburban,synthetic_mst,K0,indeterminate relative to model discrepancy,1,60,0.016666666666666666
suburban,synthetic_mst,K0,no modeled loss benefit/AC retained,38,60,0.6333333333333333
suburban,synthetic_mst,K0,robustly material under screening rule,21,60,0.35
suburban,synthetic_mst,K1,indeterminate relative to model discrepancy,2,60,0.03333333333333333
suburban,synthetic_mst,K1,no modeled loss benefit/AC retained,38,60,0.6333333333333333
suburban,synthetic_mst,K1,robustly material under screening rule,20,60,0.3333333333333333
suburban,synthetic_mst,K2,indeterminate relative to model discrepancy,1,60,0.016666666666666666
suburban,synthetic_mst,K2,no modeled loss benefit/AC retained,38,60,0.6333333333333333
suburban,synthetic_mst,K2,robustly material under screening rule,21,60,0.35
suburban,synthetic_mst,K3,indeterminate relative to model discrepancy,1,60,0.016666666666666666
suburban,synthetic_mst,K3,no modeled loss benefit/AC retained,38,60,0.6333333333333333
suburban,synthetic_mst,K3,robustly material under screening rule,21,60,0.35
urban,original,K0,no modeled loss benefit/AC retained,36,60,0.6
urban,original,K0,robustly material under screening rule,24,60,0.4
urban,original,K1,indeterminate relative to model discrepancy,1,60,0.016666666666666666
urban,original,K1,no modeled loss benefit/AC retained,36,60,0.6
urban,original,K1,robustly material under screening rule,23,60,0.38333333333333336
urban,original,K2,no modeled loss benefit/AC retained,36,60,0.6
urban,original,K2,robustly material under screening rule,24,60,0.4
urban,original,K3,no modeled loss benefit/AC retained,36,60,0.6
urban,original,K3,robustly material under screening rule,24,60,0.4
urban,synthetic_mst,K0,no modeled loss benefit/AC retained,36,60,0.6
urban,synthetic_mst,K0,robustly material under screening rule,24,60,0.4
urban,synthetic_mst,K1,indeterminate relative to model discrepancy,1,60,0.016666666666666666
urban,synthetic_mst,K1,no modeled loss benefit/AC retained,36,60,0.6
urban,synthetic_mst,K1,robustly material under screening rule,23,60,0.38333333333333336
urban,synthetic_mst,K2,indeterminate relative to model discrepancy,1,60,0.016666666666666666
urban,synthetic_mst,K2,no modeled loss benefit/AC retained,36,60,0.6
urban,synthetic_mst,K2,robustly material under screening rule,23,60,0.38333333333333336
urban,synthetic_mst,K3,indeterminate relative to model discrepancy,1,60,0.016666666666666666
urban,synthetic_mst,K3,no modeled loss benefit/AC retained,36,60,0.6
urban,synthetic_mst,K3,robustly material under screening rule,23,60,0.38333333333333336
